,title,author,rating,votes_count,students_count,level,duration,platform,free
0,Машинное обучение и анализ данных,Moscow Institute of Physics and Technology,4.7,6382.0,100000,Intermediate,224.0,Coursera,False
1,Introducción a la Especialización en Ciencia de Datos,IBM,4.6,116.0,3400,Beginner,48.0,Coursera,False
2,Getting Started with SAS Programming,SAS,4.8,2083.0,67000,Beginner,22.0,Coursera,False
3,Introduction to Designing Data Lakes on AWS,Amazon Web Services,4.7,65.0,6100,Intermediate,14.0,Coursera,False
4,Estatística não-paramétrica para a tomada de decisão,Universidade de São Paulo,4.4,109.0,9300,Intermediate,13.0,Coursera,False
5,XG-Boost : Used Cars Price Prediction,Coursera Project Network,4.7,16.0,,Intermediate,,Coursera,False
6,Experimentation for Improvement,McMaster University,4.8,821.0,32000,Intermediate,13.0,Coursera,False
7,Exploratory Data Analysis,Coursera Project Network,4.3,124.0,5100,Intermediate,,Coursera,False
8,Predict Sales and Forecast Trends in Google Sheets,Coursera Project Network,4.6,21.0,2700,Beginner,,Coursera,False
9,Herramientas para el Análisis de Big Data,TecdeMonterreyX,,,14269,Intermediate,16.0,edX,True
10,Supply Chains for Manufacturing: Inventory Analytics,MITx,,,24170,Advanced,36.0,edX,True
11,赵强老师：BigData 电商大数据项目实战(Hadoop+Spark)系列课程（）,赵强 老师,4.8,3.0,16,Advanced,5.5,Udemy,False
12,The # Python Data Scientist: Sentiment Analysis & More,Mammoth Interactive,4.6,19.0,122,Beginner,16.5,Udemy,False
13,Deep Learning with TensorFlow (beginner to expert level),Uplatz Training,4.8,73.0,23837,Mixed,29.5,Udemy,False
14,Applied Machine Learning in R,Bogdan Anastasiei,4.3,201.0,23448,Mixed,8.0,Udemy,False
15,Learn Machine learning & AI (Including Hands-on Projects),EdYoda Digital University,4.1,765.0,216893,Intermediate,2.0,Udemy,False
16,Data Manipulation in Python: A Pandas Crash Course,Samuel Hinton,4.6,1061.0,33444,Beginner,9.0,Udemy,False
17,Building Features from Nominal and Numeric Data in Microsoft Azure,,,,,Beginner,1.3,Pluralsight,False
18,Pygal: Python Data Playbook,Kishan Iyer,3.5,17.0,,Beginner,3.0,Pluralsight,False
19,Create Couchbase Views,,,,,Intermediate,2.6,Pluralsight,False
20,Implement Full-text Search in Couchbase,,,,,Advanced,2.8,Pluralsight,False
21,Introduction to AI & Machine Learning,Amr Shawqy,1.4,7,662,Beginner,0.16416666666666666,Skillshare,True
22,Tableau : Practical and Concise Part,Junaid Athar,4.0,6,100,Beginner,0.6572222222222223,Skillshare,True
23,Practical C++: Learn C++ Basics Step by Step,Edouard Renard,0.0,0,59,Beginner,4.826666666666667,Skillshare,True
24,Hands-on with AWS RDS,Liya Peng,0.0,0,39,Beginner,2.76,Skillshare,True
25,"Gestione amministrazione, controllo di gestione e sistema ISO - Con licenza gestionale a vita",Riccardo Dominici,0.0,0,3,Mixed,7.7025,Skillshare,True
26,Geographic Information Systems (GIS),"University of California, Davis",4.8,5377.0,140000,Beginner,168.0,Coursera,False
27,Поиск структуры в данных,Moscow Institute of Physics and Technology,4.7,1442.0,21000,Intermediate,,Coursera,False
28,Data Analysis in R with RStudio & Tidyverse,Codio,,,,Beginner,,Coursera,False
29,Introduction to the Tidyverse,Johns Hopkins University,4.0,20.0,1700,Beginner,,Coursera,False
30,UX Data Analysis,HECMontrealX,,,,Intermediate,24.0,edX,True
31,GIS,AlaskaX,,,,Intermediate,16.0,edX,True
32,Introduction to Bayesian Statistics Using R,UCx,,,,Beginner,24.0,edX,True
33,Machine Learning no Power BI,Vitor Schuwartz Rocha,4.4,55.0,1008,Intermediate,2.0,Udemy,False
34,"Deep Learning, Neuronale Netze und TensorFlow in Python",Jan Schaffranek,4.6,1558.0,11956,Mixed,25.0,Udemy,False
35,Design AI project using Python,Abhishek Thakur,0.0,0.0,1,Beginner,5.5,Udemy,False
36,Boosting Machine Learning Models in Python,Packt Publishing,2.5,3.0,32,Beginner,3.0,Udemy,False
37,Data Wrangling with Python,Packt Publishing,3.4,13.0,62,Beginner,3.5,Udemy,False
38,Data Science- Hypothesis Testing Using Minitab and R,ExcelR Solutions,4.1,39.0,1110,Mixed,4.0,Udemy,False
39,Introduction to Machine Learning For Beginners [A to Z],Academy of Computing & Artificial Intelligence,4.5,47.0,6820,Mixed,7.5,Udemy,False
40,Data Science: Bitcoin Data Visualization & Price Prediction,School of Disruptive Innovation,3.9,51.0,6760,Beginner,1.5,Udemy,False
41,Hands On Natural Language Processing (NLP) using Python,Next Edge Coding,4.5,1342.0,7794,Mixed,10.5,Udemy,False
42,Artificial Intelligence for Business,Hadelin de Ponteves,4.5,2791.0,20221,Beginner,15.0,Udemy,False
43,Designing Machine Learning Solutions on Microsoft Azure,David Tucker,4.5,30.0,,Intermediate,1.7,Pluralsight,False
44,Drive Business Growth While Satisfying GDPR and CCPA,,,,,Intermediate,0.3,Pluralsight,False
45,Preparing for Google Cloud Certification: Cloud Data Engineer Professional Certificate 日本語版,Google Cloud,4.5,179.0,4500,Intermediate,64.0,Coursera,False
46,Fundamentals of Machine Learning for Supply Chain,LearnQuest,3.9,11.0,,Beginner,,Coursera,False
47,Linear Regression with Python,Coursera Project Network,4.6,405.0,10000,Intermediate,,Coursera,False
48,Bases de datos y SQL para ciencia de datos,IBM,4.0,22.0,1700,Beginner,14.0,Coursera,False
49,مقدمة عن البيانات الضخمة,University of California San Diego,4.5,80.0,2500,Mixed,,Coursera,False
50,Data visualization and the basics of working in Tableau,Anastasia Kuznetsova,5.0,6.0,113,Intermediate,,Stepik,False
51,Регулярные выражения в Python,Центр digital-профессий ITtensive,3.9,5.0,24,Intermediate,1.0,Udemy,False
52,LEARNING PATH: R: Machine Learning and Deep Learning with R,Packt Publishing,3.6,3.0,21,Intermediate,6.5,Udemy,False
53,Beyond MNIST Example: Practical Convolutional NNs,Mehmet Burak SAYICI,4.0,9.0,77,Beginner,6.5,Udemy,False
