,Variables,Coding,,,Subtests
"
1",group,1934/36 = 1; 2006 = 2,,,
2,IDNR,Identificator, independent for groups,,
3,sex,"""1 = male "," 2 = female""",,
4,grade,grade,,,
5,age,"""age in years"," miss = -9""",,
6,a1.1,"""Missing = -9", wrong = 0," right =1 .""",Beginning of the subtest A1 (Arithmetical Reasoning)
7,a1.2,"""Missing = -9", wrong = 0," right =1 .""",
8,a1.3,"""Missing = -9", wrong = 0," right =1 .""",
9,a1.4,"""Missing = -9", wrong = 0," right =1 .""",
10,a1.5,"""Missing = -9", wrong = 0," right =1 .""",
11,a1.6,"""Missing = -9", wrong = 0," right =1 .""",
12,a1.7,"""Missing = -9", wrong = 0," right =1 .""",
13,a1.8,"""Missing = -9", wrong = 0," right =1 .""",
14,a1.9,"""Missing = -9", wrong = 0," right =1 .""",
15,a1.10,"""Missing = -9", wrong = 0," right =1 .""",
16,a1.11,"""Missing = -9", wrong = 0," right =1 .""",
17,a1.12,"""Missing = -9", wrong = 0," right =1 .""",
18,a1.13,"""Missing = -9", wrong = 0," right =1 .""",
19,a1.14,"""Missing = -9", wrong = 0," right =1 .""",
20,a1.15,"""Missing = -9", wrong = 0," right =1 .""",
21,a1.16,"""Missing = -9", wrong = 0," right =1 .""",End of the subtest A1 (Arithmetical Reasoning)
22,a2.1,"""Missing = -9", wrong = 0," right =1 .""",Beginning of the subtest A2 ( Sentence Completion)
23,a2.2,"""Missing = -9", wrong = 0," right =1 .""",
24,a2.3,"""Missing = -9", wrong = 0," right =1 .""",
25,a2.4,"""Missing = -9", wrong = 0," right =1 .""",
26,a2.5,"""Missing = -9", wrong = 0," right =1 .""",
27,a2.6,"""Missing = -9", wrong = 0," right =1 .""",
28,a2.7,"""Missing = -9", wrong = 0," right =1 .""",
29,a2.8,"""Missing = -9", wrong = 0," right =1 .""",
30,a2.9,"""Missing = -9", wrong = 0," right =1 .""",
31,a2.10,"""Missing = -9", wrong = 0," right =1 .""",
32,a2.11,"""Missing = -9", wrong = 0," right =1 .""",
33,a2.12,"""Missing = -9", wrong = 0," right =1 .""",
34,a2.13,"""Missing = -9", wrong = 0," right =1 .""",
35,a2.14,"""Missing = -9", wrong = 0," right =1 .""",
36,a2.15,"""Missing = -9", wrong = 0," right =1 .""",
37,a2.16,"""Missing = -9", wrong = 0," right =1 .""",
38,a2.17,"""Missing = -9", wrong = 0," right =1 .""",
39,a2.18,"""Missing = -9", wrong = 0," right =1 .""",
40,a2.19,"""Missing = -9", wrong = 0," right =1 .""",
41,a2.20,"""Missing = -9", wrong = 0," right =1 .""",End of the subtest A2 (Sentence Completion).
42,a3.1,"""Missing = -9", wrong = 0,"  partial credits 1 or 2 points.""",Beginning of subtest A3 ( Sentence Completion).
43,a3.2,"""Missing = -9", wrong = 0,"  partial credits 1 or 2 points.""",
44,a3.3,"""Missing = -9", wrong = 0,"  partial credits 1 or 2 points.""",
45,a3.4,"""Missing = -9", wrong = 0,"  partial credits 1 or 2 points.""",
46,a3.5,"""Missing = -9", wrong = 0,"  partial credits 1 or 2 points.""",
47,a3.6,"""Missing = -9", wrong = 0,"  partial credits 1 or 2 points.""",
48,a3.7,"""Missing = -9", wrong = 0,"  partial credits 1 or 2 points.""",
49,a3.8,"""Missing = -9", wrong = 0,"  partial credits 1 or 2 points.""",
50,a3.9,"""Missing = -9", wrong = 0,"  partial credits 1 or 2 points.""",
51,a3.10,"""Missing = -9", wrong = 0,"  partial credits 1 or 2 points.""",
52,a3.11,"""Missing = -9", wrong = 0,"  partial credits 1 or 2 points.""",
53,a3.12,"""Missing = -9", wrong = 0,"  partial credits 1 or 2 points.""",
54,a3.13,"""Missing = -9", wrong = 0,"  partial credits 1 or 2 points.""",
55,a3.14,"""Missing = -9", wrong = 0,"  partial credits 1 or 2 points.""",
56,a3.15,"""Missing = -9", wrong = 0,"  partial credits 1 or 2 points.""",
57,a3.16,"""Missing = -9", wrong = 0,"  partial credits 1 or 2 points.""",
58,a3.17,"""Missing = -9", wrong = 0,"  partial credits 1 or 2 points.""",
59,a3.18,"""Missing = -9", wrong = 0,"  partial credits 1 or 2 points.""",
60,a3.19,"""Missing = -9", wrong = 0,"  partial credits 1 or 2 points.""",
61,a3.20,"""Missing = -9", wrong = 0,"  partial credits 1 or 2 points.""",
62,a3.21,"""Missing = -9", wrong = 0,"  partial credits 1 or 2 points.""",
63,a3.22,"""Missing = -9", wrong = 0,"  partial credits 1 or 2 points.""",
64,a3.23,"""Missing = -9", wrong = 0,"  partial credits 1 or 2 points.""",
65,a3.24,"""Missing = -9", wrong = 0,"  partial credits 1 or 2 points.""",End of the subtest A3 (Concepts).
66,a4.1,"""Missing = -9", wrong = 0,"  partial credits 1 or 2 points.""",Beginning of subtest A4 ( Same - Different).
67,a4.2,"""Missing = -9", wrong = 0," right =1 .""",
68,a4.3,"""Missing = -9", wrong = 0," right =1 .""",
69,a4.4,"""Missing = -9", wrong = 0," right =1 .""",
70,a4.5,"""Missing = -9", wrong = 0," right =1 .""",
71,a4.6,"""Missing = -9", wrong = 0," right =1 .""",
72,a4.7,"""Missing = -9", wrong = 0," right =1 .""",
73,a4.8,"""Missing = -9", wrong = 0," right =1 .""",
74,a4.9,"""Missing = -9", wrong = 0," right =1 .""",
75,a4.10,"""Missing = -9", wrong = 0," right =1 .""",
76,a4.11,"""Missing = -9", wrong = 0," right =1 .""",
77,a4.12,"""Missing = -9", wrong = 0," right =1 .""",
78,a4.13,"""Missing = -9", wrong = 0," right =1 .""",
79,a4.14,"""Missing = -9", wrong = 0," right =1 .""",
80,a4.15,"""Missing = -9", wrong = 0," right =1 .""",
81,a4.16,"""Missing = -9", wrong = 0," right =1 .""",
82,a4.17,"""Missing = -9", wrong = 0," right =1 .""",
83,a4.18,"""Missing = -9", wrong = 0," right =1 .""",
