WEIGHT	COL5	Q1_1	Q1_2	Q2_1	Q2_2	Q3_1	Q3_2	Q4_1	Q4_2	Q4_3	Q5_1	Q5_2	Q6A_1	Q6A_2	Q6A_3	Q6A_4	Q6A_5	Q6A_6	Q6A_7	Q6A_8	Q6A_9	Q6A_10	Q6A_11	Q6A_12	Q6A_13	Q6A_14	Q6A_15	Q6A_16	Q6A_17	Q6A_18	Q6A_19	Q6A_20	Q6B_1	Q6B_2	Q6B_3	Q7A_1	Q7A_2	Q7B_19	Q7B_20	Q8_1	Q8_2	Q9_1	Q9_2	Q9_3	Q9_4	Q9_5	Q9_6	Q9_7	Q9_8	Q9_9	Q9_10	Q9_11	Q9_12	Q9_13	Q9_14	Q9_15	Q9_16	Q9_17	Q9_18	Q9_19	Q9_20	Q9_21	Q9_22	Q9_23	Q9_24	Q9_25	Q10A_1	Q10A_2	Q10B_1	Q10B_2	Q10C_1	Q10C_2	Q10D	Q11_1	Q11_2	Q11_3	Q11_4	Q11_5	Q11_6	Q11_7	Q11_8	Q11_9	Q11_10	Q11_11	Q11_12	Q12A	Q12B	Q13	Q14	Q15	Q16_1	Q16_2	Q16_3	Q16_4	Q17	Q18A	Q18B_1	Q18B_2	Q19A_1	Q19A_2	Q19B	Q19C_1	Q19C_2	Q19D	Q19D_NS	Q19E_19	Q19E_20	Q19E_NS	Q19F_19	Q19F_20	Q19F_NS	Q21A_M	Q21A_W	Q21B	Q21C_M	Q21C_W
1.5442	7	4	NA	1	NA	2	NA	18	NA	NA	5	NA	9	9	7	3	9	9	5	9	9	7	7	7	9	9	5	5	3	7	3	3	6	NA	NA	3	NA	91	NA	29	53	5	5	8	8	8	7	7	5	8	8	8	3	8	8	8	7	4	NA	NA	9	9	6	4	7	7	1	NA	1	NA	1	5	5	5	5	3	8	9	9	7	6	8	8	8	10	4	NA	2	5	3	2	1	2	2	2	1	1	NA	98	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	76	83	2	NA	NA
1.5442	7	2	NA	1	7	16	NA	5	30	49	12	NA	10	10	8	5	6	10	10	0	10	7	7	6	8	10	6	8	0	5	8	8	11	NA	NA	3	1	NA	0	1	2	5	4	6	2	0	5	7	6	3	3	2	2	8	1	4	4	1	3	7	10	10	10	5	7	10	1	NA	1	NA	5	1	4	6	10	NA	7	8	NA	5	4	6	7	5	8	3	NA	1	2	4	2	1	1	2	1	1	1	2	6	NA	1	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	83	83	1	100	100
1.5442	7	2	NA	1	NA	1	5	5	7	NA	20	NA	8	7	9	3	5	5	6	4	6	8	6	5	10	9	4	3	4	6	4	4	99	NA	NA	9	NA	NA	0	52	NA	5	5	8	3	3	8	7	5	8	3	3	2	8	6	4	4	7	8	6	9	8	9	3	8	9	4	NA	1	NA	11	NA	5	8	6	7	9	9	NA	5	4	8	4	4	10	2	40	3	3	4	2	1	2	2	2	1	1	NA	5	NA	1	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	76	83	1	100	100
1.5442	7	1	NA	10	NA	16	NA	19	NA	NA	1	NA	10	10	10	5	10	NA	10	0	7	8	NA	7	8	8	5	8	6	5	3	NA	99	NA	NA	1	NA	3	NA	98	NA	4	7	5	5	2	5	3	3	5	2	0	0	5	3	5	5	2	4	NA	5	6	8	6	6	5	98	NA	1	NA	98	NA	5	0	5	0	NA	NA	NA	5	5	10	10	10	5	3	NA	3	2	3	2	1	1	2	2	2	NA	NA	98	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	75	85	1	105	105
1.5442	7	98	NA	10	NA	16	39	98	NA	NA	98	NA	10	10	7	7	7	10	9	10	8	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11	NA	NA	4	NA	NA	6	1	NA	5	9	9	0	0	8	5	5	4	3	NA	2	7	5	5	NA	1	2	NA	5	3	6	2	5	3	98	NA	98	NA	98	NA	4	0	3	0	0	6	NA	NA	2	5	3	0	8	4	NA	3	2	3	2	1	1	2	2	1	3	NA	98	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	75	80	1	90	90
1.5442	7	4	NA	1	NA	16	24	43	NA	NA	13	30	10	10	10	6	9	5	6	1	10	6	6	6	8	9	7	6	6	7	7	6	99	NA	NA	1	5	NA	0	50	NA	0	0	10	0	0	8	7	4	4	0	0	3	4	NA	0	4	0	0	0	5	5	7	6	7	NA	1	3	7	NA	98	NA	4	2	4	2	6	6	6	6	6	7	7	5	9	1	5	3	2	3	2	2	2	2	1	1	2	3	4	NA	1	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	75	80	1	102	101
1.5442	7	4	NA	3	6	1	NA	3	50	NA	1	NA	10	10	8	9	9	5	3	9	4	5	5	6	9	9	2	5	3	8	6	6	12	NA	NA	5	NA	96	NA	53	NA	3	5	10	5	2	9	9	6	5	2	2	2	10	5	4	4	5	4	8	8	6	9	4	9	5	1	NA	3	NA	10	NA	3	7	8	6	9	10	4	6	6	6	3	3	9	1	2	3	3	4	2	2	1	2	1	1	1	NA	3	NA	1	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	75	82	1	88	88
1.5442	7	2	NA	1	7	1	NA	5	2	3	1	57	5	8	8	10	7	5	9	5	3	6	4	7	10	10	3	5	1	8	8	10	10	NA	NA	1	NA	96	NA	6	NA	3	4	4	6	1	9	7	5	8	2	1	5	9	6	4	4	1	5	8	10	7	10	3	7	9	1	NA	2	NA	3	NA	5	2	2	0	7	10	7	5	8	8	7	9	4	1	3	3	3	2	2	1	1	2	2	1	2	NA	2	NA	1	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	73	80	1	120	115
1.5442	7	15	18	7	8	97	NA	3	4	1	21	1	9	9	NA	7	8	7	7	2	5	5	5	3	8	9	5	5	1	3	8	7	13	NA	NA	1	NA	2	NA	1	NA	3	3	5	2	5	7	5	4	4	NA	5	2	4	4	4	6	5	4	2	8	8	7	NA	6	NA	99	NA	6	NA	4	NA	4	2	2	2	8	8	NA	6	4	6	4	4	9	1	2	1	3	4	2	1	1	2	NA	1	3	NA	98	NA	NA	NA	NA	NA	1	NA	0	NA	NA	20	NA	77	82	1	100	100
1.5442	7	8	NA	2	4	8	28	35	15	16	5	NA	8	8	5	5	8	10	10	3	10	8	10	9	10	10	8	10	7	10	8	10	14	NA	NA	6	NA	96	NA	1	NA	5	5	8	8	5	7	5	3	5	3	2	5	8	5	5	5	2	3	2	8	10	8	5	8	8	1	NA	5	NA	4	NA	5	5	8	3	8	10	NA	5	5	5	5	8	10	3	NA	3	2	2	2	2	1	2	1	2	NA	NA	1	NA	2	NA	NA	NA	1	96	NA	NA	NA	NA	NA	76	83	1	76	83
1.5442	7	5	NA	7	10	16	37	10	21	18	16	5	10	10	7	8	10	10	10	10	6	4	6	8	4	7	3	4	4	1	4	3	98	NA	NA	2	7	95	NA	8	NA	10	10	10	7	7	3	2	2	2	5	1	5	5	5	7	7	1	2	0	8	1	8	3	5	2	1	NA	1	NA	1	NA	5	2	2	4	8	6	4	1	3	5	5	5	10	1	5	1	2	3	2	1	2	2	1	1	1	NA	14	NA	1	1	NA	1000	NA	95	NA	NA	90	NA	NA	85	87	1	120	120
1.5442	7	98	NA	7	8	16	NA	2	18	NA	4	58	10	10	10	3	10	10	7	10	10	7	10	8	10	10	6	10	7	7	6	10	99	NA	NA	4	NA	3	NA	1	NA	5	5	8	4	2	8	5	3	3	3	3	5	9	3	4	5	2	6	2	8	8	7	4	6	9	6	NA	1	NA	2	NA	4	4	8	0	8	7	7	3	4	6	4	4	9	1	12	1	3	4	2	1	2	2	2	1	NA	NA	13	NA	3	NA	NA	NA	NA	90	NA	NA	93	NA	NA	74	81	1	90	90
1.5442	7	1	NA	1	2	8	1	99	NA	NA	16	NA	10	10	8	10	10	10	7	10	10	8	8	5	10	8	7	3	2	7	10	10	1	2	NA	1	6	NA	0	1	NA	10	10	8	5	0	3	9	7	5	2	5	1	6	5	7	6	2	2	3	8	9	8	3	6	8	1	NA	1	NA	2	6	5	5	7	2	9	8	8	5	7	6	6	8	8	3	NA	2	5	2	2	1	1	2	2	1	1	NA	12	NA	1	2	NA	NA	1	96	NA	NA	NA	1	NA	75	82	1	85	90
1.5442	7	4	2	1	2	1	18	3	19	6	59	NA	10	8	9	6	8	8	6	7	8	8	6	5	8	9	6	5	6	6	5	5	3	NA	NA	1	NA	91	NA	1	NA	4	4	7	3	3	8	8	6	6	6	7	4	5	6	3	6	5	4	3	7	7	9	5	7	6	2	NA	3	NA	98	NA	3	3	8	2	8	6	4	3	7	8	6	5	9	3	NA	2	2	4	2	1	1	2	1	1	3	NA	11	NA	3	NA	NA	10000	NA	92	NA	NA	95	NA	NA	74	82	1	81	85
1.5442	7	4	NA	1	NA	25	NA	98	NA	NA	12	NA	7	7	5	2	3	9	6	3	10	6	7	8	9	9	8	6	6	8	8	8	4	NA	NA	1	NA	91	NA	51	NA	2	2	8	8	5	6	8	5	NA	NA	NA	NA	8	7	NA	NA	0	0	0	9	8	9	5	5	5	1	5	4	NA	98	NA	3	5	9	8	10	8	7	4	5	7	4	3	10	1	1	1	2	3	2	1	3	2	NA	2	NA	NA	10	NA	3	NA	NA	NA	1	96	NA	NA	NA	NA	NA	80	85	1	90	90
1.5442	7	21	NA	10	NA	26	27	32	21	5	1	NA	8	8	8	5	8	10	5	10	7	4	10	5	10	0	5	6	7	7	10	8	5	6	NA	8	NA	NA	10	1	NA	5	5	5	2	2	8	5	5	5	4	4	4	7	4	4	5	4	4	3	8	9	9	8	8	8	1	NA	1	NA	8	NA	5	5	10	7	5	5	5	5	5	5	2	2	7	1	10	1	1	3	3	1	1	1	1	3	NA	NA	9	NA	3	NA	NA	NA	1	NA	0	NA	NA	NA	1	100	100	1	120	120
1.5442	7	1	NA	98	NA	22	17	98	NA	NA	98	NA	10	10	8	8	4	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	98	NA	NA	98	NA	NA	NA	1	NA	NA	NA	NA	10	10	3	3	3	NA	1	2	1	NA	NA	2	NA	2	NA	2	3	6	NA	0	5	NA	98	NA	9	NA	3	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	2	2	5	2	1	3	2	1	2	NA	NA	98	NA	NA	NA	NA	NA	1	NA	NA	1	NA	NA	1	73	79	1	75	80
1.5442	7	3	NA	7	NA	16	NA	98	NA	NA	1	NA	10	9	8	6	8	10	8	7	8	7	9	7	8	10	8	8	0	5	10	10	7	NA	NA	5	NA	95	NA	27	NA	5	5	5	NA	5	8	8	6	6	4	2	3	6	6	5	5	NA	NA	4	7	8	8	5	7	7	1	2	2	NA	5	6	5	5	5	3	7	8	NA	7	8	7	5	2	9	3	NA	2	2	3	2	1	1	2	1	1	NA	NA	8	NA	1	8	NA	3000	NA	95	NA	NA	NA	0	NA	75	80	1	120	125
1.5442	7	2	NA	1	2	2	NA	1	11	NA	33	55	8	6	9	8	7	7	7	6	6	7	5	5	8	7	5	4	5	6	5	7	8	NA	NA	5	NA	96	NA	6	NA	6	7	8	4	2	8	8	7	7	4	5	7	8	5	7	7	5	8	6	7	7	8	3	6	6	1	NA	1	NA	9	NA	6	0	2	1	NA	5	5	3	6	6	4	6	7	1	NA	2	2	2	2	1	1	2	2	1	1	NA	7	NA	1	9	NA	NA	1	NA	NA	1	NA	NA	1	81	88	1	999	999
1.5442	7	98	NA	98	NA	2	NA	2	7	NA	27	NA	9	7	5	6	2	8	6	6	9	7	7	6	9	7	NA	6	4	4	7	7	99	NA	NA	5	NA	NA	0	25	NA	3	4	8	0	0	8	5	5	3	1	0	2	10	2	0	1	0	0	0	6	5	7	7	5	5	98	NA	1	NA	7	NA	5	3	6	3	7	7	NA	3	6	7	3	2	7	1	5	3	3	5	2	1	2	1	2	1	1	NA	15	NA	1	10	NA	300	NA	90	NA	NA	NA	9	NA	71	78	1	100	100
1.5442	7	4	2	8	NA	16	NA	2	19	49	4	1	10	10	8	2	9	9	9	1	10	7	10	9	7	10	10	6	5	9	9	10	15	NA	NA	1	NA	NA	0	15	NA	2	4	10	1	3	7	8	5	5	4	3	4	6	7	6	6	4	4	7	10	10	5	3	5	5	1	2	1	NA	5	NA	5	1	3	3	5	8	4	5	5	6	6	3	8	2	40	1	2	4	2	1	1	2	2	1	2	NA	2	NA	1	11	NA	NA	1	NA	NA	1	NA	0	NA	76	83	1	120	120

