WEIGHT	COL5	Q1_1	Q1_2	Q2_1	Q2_2	Q3_1	Q3_2	Q4_1	Q4_2	Q4_3	Q5_1	Q5_2	Q6A_1	Q6A_2	Q6A_3	Q6A_4	Q6A_5	Q6A_6	Q6A_7	Q6A_8	Q6A_9	Q6A_10	Q6A_11	Q6A_12	Q6A_13	Q6A_14	Q6A_15	Q6A_16	Q6A_17	Q6A_18	Q6A_19	Q6A_20	Q6B_1	Q6B_2	Q6B_3	Q7A_1	Q7A_2	Q7B_19	Q7B_20	Q8_1	Q8_2	Q9	Q10A_1	Q10A_2	Q10A_3	Q10A_5	Q10A_6	Q10A_7	Q10A_8	Q10A_9	Q10A_10	Q10A_11	Q10A_12	Q10A_13	Q10A_14	Q10A_15	Q10A_16	Q10A_17	Q10B_1	Q10B_2	Q10B_3	Q10B_5	Q10B_6	Q10B_7	Q10B_8	Q10B_9	Q10B_10	Q10B_11	Q10B_12	Q10B_13	Q10B_14	Q10B_15	Q10B_16	Q10B_17	Q11A_1	Q11A_2	Q11B_1	Q11B_2	Q12A_1	Q12A_2	Q12A_3	Q12A_4	Q12A_5	Q12A_6	Q12A_7	Q12A_8	Q12A_9	Q12A_10	Q12A_11	Q12A_12	Q12B_1	Q12B_2	Q13_1	Q13_2A	Q13_2B	Q13_2C	Q13_3	Q13_4	Q13_5	Q13_6	Q13_7	Q13_8	Q13_9	Q13_10	Q13_11	Q14A_1	Q14A_2	Q14B	Q14C_1	Q14C_2	Q14C_3	Q15A	Q15B	Q16	Q17	Q18	Q19	Q20A	Q20A_NS	Q20B_19	Q20B_20	Q20B_NS	Q20C_19	Q20C_20	Q20C_NS	Q22A_M	Q22A_W	Q22B	Q22C_M	Q22C_W
0.8107	3	2	3	3	2	98	NA	99	NA	NA	51	NA	3	5	2	2	3	4	6	8	4	7	3	3	2	4	4	3	NA	4	3	3	1	2	NA	2	NA	NA	50	6	2	3	2	2	5	2	3	3	4	2	3	3	2	3	2	5	NA	NA	9	7	5	4	4	3	4	3	3	5	4	7	2	6	NA	NA	1	2	4	NA	1	4	4	1	2	2	2	2	5	2	2	2	1	NA	2	NA	NA	NA	2	5	2	5	2	2	2	5	5	99	NA	NA	NA	NA	NA	4	3	65	2	2	2	NA	1	NA	NA	1	NA	NA	1	72	79	1	999	999
0.8107	3	18	NA	10	NA	42	46	99	NA	NA	50	NA	7	8	5	7	7	4	5	9	9	4	4	6	6	4	4	7	3	8	8	6	3	NA	NA	1	NA	NA	99	1	30	1	7	7	4	5	NA	8	8	NA	8	8	8	8	NA	7	8	6	5	5	4	4	NA	6	6	NA	8	7	7	7	NA	7	7	6	1	NA	4	NA	1	2	1	2	2	2	2	2	2	1	1	2	1	NA	3	3	3	2	1	1	1	3	2	3	3	2	2	98	NA	NA	NA	NA	NA	2	NA	60	2	2	2	1000	NA	NA	NA	NA	NA	NA	NA	999	999	1	110	110
0.8107	3	1	2	1	7	97	NA	98	NA	NA	7	NA	9	8	4	4	9	3	6	9	9	6	6	5	3	2	5	6	7	8	8	8	4	NA	NA	98	NA	NA	NA	1	NA	1	4	4	9	3	6	3	4	0	2	8	4	7	0	1	6	0	8	8	1	1	0	0	0	0	3	1	1	1	0	0	1	0	1	NA	2	NA	1	1	3	4	2	4	4	4	1	1	1	1	1	NA	2	3	2	2	1	1	1	3	4	4	3	1	5	98	NA	NA	NA	NA	NA	4	NA	65	2	2	1	NA	1	NA	NA	1	NA	NA	1	76	83	1	120	120
0.8107	3	1	NA	7	13	3	1	1	NA	NA	16	NA	9	8	5	7	9	8	9	5	9	6	7	8	6	3	4	5	7	7	7	6	99	NA	NA	4	NA	2	NA	1	24	1	8	6	3	6	7	7	6	3	3	7	5	4	3	5	7	4	7	5	3	4	5	4	5	3	3	5	5	4	3	4	5	4	1	NA	5	NA	2	2	1	2	2	2	2	2	2	1	2	1	1	NA	1	1	1	1	1	2	1	2	2	2	2	1	5	98	NA	NA	NA	NA	NA	3	2	60	2	2	2	540	NA	NA	30	NA	NA	30	NA	77	85	1	100	100
0.8107	3	1	NA	98	NA	2	NA	99	NA	NA	1	NA	10	8	7	7	8	5	9	8	8	5	6	6	4	4	5	5	8	5	7	3	99	NA	NA	98	NA	NA	NA	1	NA	1	1	NA	0	0	2	6	2	0	4	5	0	3	0	3	4	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	98	NA	1	2	2	2	2	2	6	2	2	1	2	1	1	NA	6	6	6	6	6	6	6	6	6	6	6	6	6	98	NA	NA	NA	NA	NA	2	3	55	2	2	1	NA	1	NA	NA	1	NA	NA	1	74	80	1	85	90
0.8107	3	1	8	9	7	31	45	99	NA	NA	14	49	8	8	5	5	8	7	7	6	6	5	8	4	4	4	6	0	7	8	7	4	5	NA	NA	1	NA	NA	6	23	NA	1	2	2	8	4	7	4	6	4	8	8	4	6	2	7	NA	NA	7	6	5	6	4	4	5	5	6	7	7	6	4	7	NA	NA	1	NA	98	NA	1	5	2	4	1	1	6	1	1	2	2	1	1	3	2	NA	NA	NA	1	1	1	5	4	4	3	5	5	4	3	1	12	NA	NA	3	4	75	2	3	1	2000	NA	NA	NA	NA	NA	NA	NA	85	87	1	999	999
0.8107	3	1	NA	1	7	37	13	47	NA	NA	1	NA	6	8	4	3	5	3	2	7	6	5	4	3	3	2	2	6	4	8	8	3	99	NA	NA	1	NA	NA	10	18	NA	3	4	4	8	5	7	5	5	2	6	7	5	5	5	7	NA	NA	7	7	4	6	6	4	6	3	5	7	5	7	4	7	NA	NA	1	NA	4	14	1	2	2	2	4	2	3	2	4	4	1	2	1	NA	2	NA	NA	NA	2	2	2	3	3	3	3	3	2	11	NA	1	NA	13	NA	4	4	75	2	2	2	NA	1	NA	NA	1	NA	NA	1	73	80	2	NA	NA
0.8107	3	4	2	2	NA	32	34	99	NA	NA	4	52	9	8	5	7	7	6	9	8	8	6	6	5	6	4	5	6	7	7	7	6	99	NA	NA	1	NA	95	NA	28	NA	3	1	1	6	3	5	5	6	3	2	4	3	3	1	3	NA	NA	6	7	5	4	4	3	6	4	3	4	4	5	6	6	NA	NA	1	NA	1	NA	2	2	2	2	4	4	2	4	2	1	1	2	1	NA	2	NA	NA	NA	2	1	1	2	3	3	2	2	5	1	3	2	NA	NA	NA	3	2	75	2	2	1	540	NA	91	NA	NA	95	NA	NA	75	80	1	125	125
0.8107	3	1	NA	7	2	13	NA	48	NA	NA	52	NA	5	9	2	2	5	3	6	7	7	3	6	6	3	2	2	5	5	3	6	7	99	NA	NA	1	NA	NA	10	8	NA	1	2	2	8	4	6	8	6	3	9	6	2	6	2	5	6	4	6	6	4	3	4	7	5	3	8	5	2	4	2	4	5	4	1	NA	3	7	1	1	2	2	2	2	2	3	1	2	1	1	1	NA	3	2	2	2	3	3	2	3	4	4	2	2	3	2	7	2	NA	NA	NA	3	4	55	2	1	1	1080	NA	NA	NA	NA	NA	0	NA	75	80	1	150	NA
0.8107	3	1	NA	1	6	2	11	2	5	6	4	12	7	9	4	6	8	6	9	9	8	4	7	5	7	5	7	7	4	7	8	7	99	NA	NA	1	NA	NA	0	15	NA	1	6	6	3	3	5	6	7	3	9	8	3	6	3	6	NA	NA	8	8	4	5	4	4	4	3	3	8	5	7	2	4	NA	NA	4	NA	8	NA	4	2	1	2	2	4	3	4	2	1	1	2	1	NA	3	NA	NA	NA	1	1	2	2	4	4	2	5	4	1	2	2	NA	NA	NA	3	3	60	2	2	1	NA	NA	NA	NA	NA	NA	NA	NA	77	85	1	95	95
