WEIGHT	COL5	Q1_1	Q1_2	Q2_1	Q2_2	Q3_1	Q3_2	Q4_1	Q4_2	Q4_3	Q5_1	Q5_2	Q6A_1	Q6A_2	Q6A_3	Q6A_4	Q6A_5	Q6A_6	Q6A_7	Q6A_8	Q6A_9	Q6A_10	Q6A_11	Q6A_12	Q6A_13	Q6A_14	Q6A_15	Q6B_1	Q6B_2	Q6B_3	Q7A_1	Q7A_2	Q7B_19	Q7B_20	Q8_1	Q8_2	Q9	Q10A_1	Q10A_2	Q10A_3	Q10A_4	Q10A_5	Q10A_6	Q10A_7	Q10A_8	Q10A_9	Q10A_10	Q10A_11	Q10A_12	Q10A_13	Q10A_14	Q10A_15	Q10B_1	Q10B_2	Q10B_3	Q10B_4	Q10B_5	Q10B_6	Q10B_7	Q10B_8	Q10B_9	Q10B_10	Q10B_11	Q10B_12	Q10B_13	Q10B_14	Q10B_15	Q11A_1	Q11A_2	Q11B_1	Q11B_2	Q11C_1	Q11C_2	Q12A_1	Q12A_2	Q12A_3	Q12A_4	Q12A_5	Q12A_6	Q12A_7	Q12A_8	Q12B_1	Q12B_2	Q13_1	Q13_2	Q13_3	Q13_4	Q13_5	Q13_6	Q13_7	Q13_8	Q13_9	Q13_10	Q13_11	Q13_12	Q13_13	Q13_14	Q13_15	Q14A_1	Q14A_2	Q14B	Q14C_1	Q14C_2	Q14C_3	Q15	Q16A	Q16B	Q16C_1	Q16C_2	Q17A	Q17B	Q17C	Q18	Q20A_M	Q20A_W	Q20B	Q20C_M	Q20C_W
1.081	4	1	NA	7	9	2	NA	2	18	NA	6	8	10	10	10	10	10	10	10	10	8	8	9	8	10	10	10	99	NA	NA	1	NA	NA	0	8	NA	NA	2	5	7	5	1	4	5	8	7	1	2	4	6	2	10	2	4	9	2	1	1	2	10	9	4	6	2	7	0	8	2	NA	6	NA	2	NA	1	1	1	2	1	2	1	1	9	2	2	4	3	4	6	1	1	2	4	3	3	1	1	2	3	1	NA	1	3	7	NA	2	1	NA	NA	NA	3	1	2	2	74	81	1	100	100
1.081	4	8	NA	7	2	12	17	99	NA	NA	14	23	9	8	9	8	10	6	7	10	7	7	7	6	10	8	4	99	NA	NA	2	NA	NA	16	1	NA	3	0	4	0	3	0	6	0	0	2	0	1	6	1	5	7	1	6	1	4	7	5	3	5	7	6	6	4	2	5	7	1	NA	4	NA	4	1	2	2	1	4	4	2	4	2	10	1	2	2	4	4	1	4	2	4	4	4	3	2	2	4	3	3	NA	1	3	NA	NA	3	2	NA	NA	NA	1	1	2	3	74	81	1	100	100
1.081	4	1	NA	13	8	31	NA	98	NA	NA	8	24	8	7	8	4	6	8	7	4	4	3	6	6	8	7	7	3	NA	NA	1	NA	NA	0	19	NA	3	7	8	5	5	7	4	3	5	5	4	4	2	5	4	7	7	8	5	5	7	5	3	7	8	5	7	4	6	6	8	3	NA	1	7	9	NA	1	1	2	2	3	2	3	2	5	4	3	2	3	3	3	2	2	3	3	3	3	1	1	1	3	2	NA	1	5	NA	NA	3	3	NA	NA	NA	1	1	2	2	74	81	1	110	110
1.081	4	1	NA	23	NA	12	NA	8	NA	NA	6	3	10	8	10	8	10	8	8	8	8	8	8	5	10	5	8	99	NA	NA	9	NA	96	NA	7	NA	NA	3	6	5	8	5	2	5	5	3	5	3	7	7	7	7	5	8	3	5	3	3	3	8	6	7	8	3	7	3	7	1	NA	1	4	10	NA	2	5	1	1	2	2	5	2	1	NA	2	2	2	2	5	2	5	2	2	2	3	2	2	2	5	11	16	1	6	NA	NA	3	1	3	98	NA	1	1	3	2	100	100	1	125	125
1.081	4	1	NA	2	13	8	13	99	NA	NA	5	6	8	3	5	7	7	5	7	6	6	5	5	10	6	6	6	1	NA	NA	1	NA	1	NA	1	NA	2	8	7	7	4	2	8	2	5	4	5	2	0	6	2	4	7	7	4	3	5	8	3	4	5	5	4	5	6	5	5	1	3	8	NA	1	NA	1	1	2	5	2	2	2	1	1	2	4	2	3	4	3	2	2	2	2	2	3	1	1	1	3	7	12	1	9	NA	NA	1	1	2	NA	NA	NA	NA	NA	NA	77	84	1	95	95
1.081	4	1	NA	1	NA	17	NA	2	NA	NA	1	8	8	7	7	5	10	8	6	5	5	6	5	3	7	4	6	99	NA	NA	1	NA	96	NA	36	NA	1	3	4	4	6	5	8	2	2	4	1	3	3	6	1	3	6	8	7	8	6	2	4	7	7	5	8	4	9	4	6	3	NA	1	9	1	NA	1	2	1	2	2	1	2	2	7	NA	2	2	3	2	2	1	1	2	2	3	3	1	1	1	5	8	1	2	NA	NA	NA	1	3	NA	NA	NA	1	1	1	2	73	80	1	120	130
1.081	4	27	NA	9	NA	16	NA	NA	NA	NA	5	NA	5	8	6	5	7	7	7	5	6	7	5	5	7	5	8	99	NA	NA	10	NA	NA	6	10	NA	3	5	6	3	5	1	6	5	2	3	2	5	3	4	3	6	3	5	3	2	4	2	3	6	6	6	5	6	6	2	3	5	4	4	NA	1	NA	1	1	1	2	2	2	1	2	1	NA	1	1	2	2	2	2	2	2	4	3	3	2	2	2	2	2	1	1	3	4	NA	2	2	NA	NA	NA	1	1	2	1	73	80	2	NA	NA
1.081	4	9	NA	7	8	17	NA	3	4	10	9	3	8	6	8	5	6	7	6	7	4	8	4	6	6	5	5	99	NA	NA	8	1	NA	0	10	NA	3	0	0	5	7	3	3	0	3	5	2	5	3	5	2	5	3	3	5	5	5	5	5	6	6	6	2	3	5	2	6	4	12	4	NA	1	NA	1	3	1	2	4	2	2	2	5	6	2	2	3	2	2	2	2	3	2	3	3	2	1	2	3	8	3	1	9	NA	NA	2	3	NA	NA	NA	1	1	2	2	76	83	1	100	100
1.081	4	1	2	8	7	15	11	2	8	NA	1	2	8	10	3	9	10	5	7	2	2	2	4	3	8	7	6	6	7	NA	13	7	NA	16	1	NA	1	0	0	0	2	0	4	0	0	5	0	3	5	3	6	4	3	3	0	1	7	3	0	3	2	1	1	3	2	0	0	4	NA	4	NA	1	NA	2	2	1	4	1	2	2	1	10	3	4	3	4	4	2	2	2	4	2	3	5	4	1	2	3	10	7	1	6	8	NA	2	2	3	4	NA	2	2	3	3	73	80	1	100	100
1.081	4	20	NA	1	9	16	2	99	NA	NA	1	NA	8	9	10	5	5	10	8	5	5	5	5	8	10	10	8	99	NA	NA	1	11	NA	0	10	NA	1	2	2	5	8	8	2	5	8	5	8	8	8	5	5	8	7	8	8	5	8	5	5	8	8	8	8	2	5	5	5	2	4	4	NA	2	1	1	2	2	4	4	2	2	2	1	NA	2	2	3	2	3	1	5	3	3	5	5	1	1	2	2	1	13	1	10	3	NA	1	1	4	99	NA	2	2	3	2	78	83	1	90	90
