WEIGHT	COL5	Q1_1	Q1_2	Q2_1	Q2_2	Q3_1	Q3_2	Q4_1	Q4_2	Q4_3	Q5_1	Q5_2	Q6A_1	Q6A_2	Q6A_3	Q6A_4	Q6A_5	Q6A_6	Q6A_7	Q6A_8	Q6A_9	Q6A_10	Q6A_11	Q6A_12	Q6A_13	Q6A_14	Q6A_15	Q6B_1	Q6B_2	Q6B_3	Q7A_1	Q7A_2	Q7B_19	Q7B_20	Q8_1	Q8_2	Q9	Q10A_1	Q10A_2	Q10A_3	Q10A_4	Q10A_5	Q10A_6	Q10A_7	Q10A_8	Q10A_9	Q10A_10	Q10A_11	Q10A_12	Q10A_13	Q10A_14	Q10B_1	Q10B_2	Q10B_3	Q10B_4	Q10B_5	Q10B_6	Q10B_7	Q10B_8	Q10B_9	Q10B_10	Q10B_11	Q10B_12	Q10B_13	Q10B_14	Q11A_1	Q11A_2	Q11B_1	Q11B_2	Q11C_1	Q11C_2	Q12_1	Q12_2	Q12_3	Q12_4	Q12_5	Q12_6	Q12_7	Q12_8	Q12_9	Q13_1	Q13_2	Q13_3	Q13_4	Q13_5	Q13_6	Q13_7	Q13_8	Q13_9	Q14A_1	Q14A_2	Q14A_3	Q14B	Q14C_1	Q14C_2	Q14C_3	Q18A_1	Q18A_2	Q18B_1	Q18B_2	Q19A	Q19A_NS	Q19B_19	Q19B_20	Q19B_NS	Q19C_19	Q19C_20	Q19C_NS	Q21A_M	Q21A_W	Q21B	Q21C_M	Q21C_W
0.7909	2	1	NA	1	2	1	NA	99	NA	NA	4	NA	7	5	7	8	3	5	8	4	3	2	7	8	5	9	2	99	NA	NA	4	NA	95	NA	31	NA	1	6	7	4	5	7	4	5	3	7	6	4	3	4	6	6	3	4	3	3	3	4	4	7	5	5	3	5	3	1	NA	2	NA	5	NA	2	2	1	1	1	1	3	2	2	2	2	4	2	1	2	6	1	1	2	6	NA	2	NA	NA	NA	6	1	1	NA	1000	NA	92	NA	NA	96	NA	NA	76	80	1	100	100
0.7909	2	5	NA	7	1	2	22	1	3	NA	15	NA	7	7	5	7	7	7	7	7	6	8	6	7	9	10	7	99	NA	NA	2	NA	NA	16	20	NA	1	5	7	5	7	7	5	7	5	5	7	5	5	5	7	7	9	7	9	9	8	9	7	5	6	6	5	9	5	1	NA	2	NA	98	NA	4	1	2	1	1	1	1	1	2	4	2	2	2	2	2	2	1	1	7	3	NA	1	5	NA	NA	98	NA	1	NA	NA	NA	NA	0	NA	NA	10	NA	75	77	1	80	85
0.7909	2	6	4	7	NA	2	NA	10	11	NA	31	NA	7	3	3	7	8	5	9	4	5	4	6	4	7	8	9	99	NA	NA	98	NA	NA	NA	4	NA	3	6	7	7	5	6	4	5	2	9	7	5	1	4	3	7	7	6	9	9	7	8	8	9	9	5	1	5	6	4	NA	3	4	98	NA	2	2	1	1	1	1	3	1	1	2	4	2	2	1	2	2	1	4	11	NA	NA	3	NA	NA	NA	2	NA	8	NA	NA	NA	91	NA	NA	94	NA	NA	80	88	1	90	95
0.7909	2	5	6	7	NA	34	NA	19	NA	NA	98	NA	3	3	3	5	NA	6	7	9	6	5	5	8	9	6	9	3	5	NA	4	NA	95	NA	13	15	1	NA	5	5	8	5	7	7	8	4	8	8	5	7	5	NA	10	10	10	10	10	7	10	5	9	9	5	7	6	2	NA	4	NA	98	NA	1	1	1	3	1	1	6	6	1	3	1	6	6	1	4	1	6	1	18	NA	NA	1	9	NA	NA	5	NA	7	NA	NA	NA	NA	NA	1	NA	NA	1	75	81	1	90	100
0.7909	2	3	2	7	1	16	38	5	30	8	17	1	3	3	5	5	7	7	9	3	8	8	6	8	8	8	7	99	NA	NA	1	NA	2	NA	1	NA	1	4	6	6	7	6	6	6	6	9	7	4	6	6	6	6	6	6	7	7	7	7	7	6	6	6	7	6	6	1	NA	1	2	1	3	4	4	1	3	1	1	5	1	1	4	2	2	1	1	1	1	4	2	2	12	NA	1	98	NA	NA	17	18	8	NA	NA	NA	NA	0	NA	95	NA	NA	76	84	1	100	110
0.7909	2	1	NA	1	8	2	NA	3	NA	NA	25	2	9	6	5	9	7	6	8	7	6	5	8	7	5	8	7	99	NA	NA	1	NA	92	NA	1	NA	3	5	8	7	8	6	5	7	7	6	7	5	5	7	6	7	8	6	7	7	7	8	8	7	7	6	5	7	6	1	3	2	NA	99	NA	1	1	1	2	1	1	3	3	2	2	2	1	2	1	2	2	2	1	5	8	NA	2	NA	NA	NA	1	2	13	NA	400	NA	91	NA	NA	91	NA	NA	76	84	1	100	100
0.7909	2	16	NA	7	8	15	NA	99	NA	NA	98	NA	7	3	3	7	5	3	6	7	6	5	7	8	7	7	7	3	NA	NA	6	NA	NA	0	60	NA	1	5	5	5	5	5	7	5	3	3	3	3	7	5	5	2	2	2	2	2	7	5	2	2	2	0	5	2	3	98	NA	4	NA	2	NA	1	2	2	3	1	1	5	3	2	3	2	2	2	2	2	2	2	2	1	NA	NA	2	NA	NA	NA	3	NA	14	NA	NA	1	NA	NA	1	NA	40	NA	80	85	1	100	100
0.7909	2	1	NA	1	14	16	NA	42	3	NA	25	16	8	6	5	3	4	6	9	5	7	8	4	6	5	8	6	2	1	4	1	2	2	NA	1	16	1	5	5	5	7	8	4	5	4	4	6	4	2	5	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	2	NA	1	NA	1	2	1	1	1	1	2	2	6	4	2	1	1	2	2	2	1	2	5	NA	NA	2	NA	NA	NA	9	3	1	NA	500	NA	NA	NA	1	NA	NA	1	80	83	1	105	100
0.7909	2	8	1	10	NA	97	NA	99	NA	NA	1	NA	4	5	7	8	5	3	7	5	6	4	6	4	7	5	7	1	NA	NA	98	NA	NA	NA	1	NA	1	6	7	5	6	4	6	5	3	4	5	7	2	3	6	4	3	4	3	3	3	5	5	6	6	5	2	3	5	1	NA	1	NA	1	NA	2	4	1	2	1	1	5	2	1	3	2	2	1	1	2	2	2	4	5	2	NA	2	NA	NA	NA	1	2	1	NA	NA	1	95	NA	NA	NA	NA	NA	72	80	1	150	150
0.7909	2	3	NA	7	10	16	28	1	3	NA	3	37	7	7	7	8	8	8	9	6	7	7	8	9	9	10	8	99	NA	NA	1	NA	NA	0	59	NA	1	5	9	9	9	8	8	7	6	8	8	6	5	8	9	10	10	10	10	8	8	7	7	6	8	8	5	7	7	1	NA	2	NA	2	NA	1	1	1	2	1	1	4	2	1	4	2	2	2	1	2	2	4	1	7	5	NA	2	NA	NA	NA	1	10	1	4	2000	NA	95	NA	NA	NA	20	NA	75	85	1	80	85
