WEIGHT	COL5	Q1_1	Q1_2	Q2_1	Q2_2	Q3_1	Q3_2	Q4_1	Q4_2	Q4_3	Q5_1	Q5_2	Q6A_1	Q6A_2	Q6A_3	Q6A_4	Q6A_5	Q6A_6	Q6A_7	Q6A_8	Q6A_9	Q6A_10	Q6A_11	Q6A_12	Q6B_1	Q6B_2	Q6B_3	Q7A_1	Q7A_2	Q7B_19	Q7B_20	Q8_1	Q8_2	Q9_1	Q9_2	Q9_3	Q9_4	Q9_5	Q9_6	Q9_7	Q9_8	Q9_9	Q9_10	Q9_11	Q9_12	Q9_13	Q9_14	Q9_15	Q9_16	Q9_17	Q10_1	Q10_2	Q10_3	Q10_4	Q10_5	Q10_6	Q10_7	Q10_8	Q10_9	Q10_10	Q10_11	Q10_12	Q10_13	Q10_14	Q10_15	Q10_16	Q10_17	Q10_18	Q10_19	Q10_20	Q11A_1	Q11A_2	Q11A_3	Q11B	Q11C_1	Q11C_2	Q11C_3	Q12_1	Q12_2	Q13	Q14_1	Q14_2	Q15A	Q15B	Q15C	Q17A_M	Q17A_W	Q17B	Q17C_M	Q17C_W
1.4099	5	26	NA	7	NA	41	NA	51	NA	NA	60	NA	6	7	8	2	2	3	4	3	5	7	6	3	1	NA	NA	3	7	NA	1	1	17	3	2	2	3	3	1	3	3	2	2	2	3	2	2	2	3	3	4	4	4	4	2	4	4	4	4	2	2	2	4	2	2	1	4	1	4	4	10	NA	NA	2	NA	NA	NA	2	NA	5	NA	NA	1	1	2	85	93	3	NA	NA
1.4099	5	1	NA	10	7	30	NA	2	NA	NA	61	NA	10	8	8	0	1	3	6	10	8	3	10	5	99	NA	NA	4	NA	NA	5	1	NA	1	1	1	1	1	1	1	1	2	1	1	2	2	1	3	3	3	2	2	2	2	2	4	4	4	4	2	2	4	4	4	2	1	1	2	4	2	4	NA	NA	1	8	NA	NA	2	NA	3	7	6	2	1	2	74	81	1	78	85
1.4099	5	1	NA	11	NA	13	NA	17	9	5	14	NA	10	10	7	8	8	5	10	3	3	5	5	8	14	NA	NA	1	NA	96	NA	17	NA	2	2	3	3	3	1	2	1	1	2	2	3	1	1	2	2	3	1	1	2	2	2	1	2	2	1	2	2	2	1	1	1	1	1	2	2	2	4	9	NA	1	5	NA	NA	1	NA	2	11	NA	1	1	2	74	80	1	105	105
1.4099	5	2	NA	8	NA	1	NA	98	NA	NA	1	NA	8	6	8	7	4	4	7	7	9	9	9	7	2	1	NA	1	NA	95	NA	4	NA	2	1	2	3	3	1	1	2	2	1	1	3	3	3	2	3	3	2	2	1	1	2	5	2	2	2	1	2	1	1	1	3	1	1	1	3	3	3	5	NA	1	98	NA	NA	3	1	4	NA	NA	1	1	2	81	88	1	95	95
1.4099	5	2	NA	7	NA	8	NA	13	NA	NA	4	NA	6	8	8	2	6	6	8	6	8	10	10	8	99	NA	NA	6	NA	NA	0	4	NA	2	1	2	1	1	1	2	2	1	1	1	3	1	1	2	3	3	2	2	2	2	1	2	3	2	1	1	1	1	1	2	2	1	2	1	2	2	4	NA	NA	1	6	NA	NA	1	2	2	1	NA	1	1	1	80	90	1	100	100
1.4099	5	3	2	4	3	5	34	1	11	3	17	1	10	9	5	1	6	NA	7	4	7	7	7	7	99	NA	NA	2	NA	NA	10	11	NA	1	1	2	3	3	2	3	1	2	1	2	3	2	2	3	3	3	1	1	2	2	1	5	4	4	1	1	3	1	1	1	1	1	1	1	4	1	1	NA	NA	1	5	NA	NA	2	NA	3	1	NA	1	1	2	72	79	1	100	110
1.4099	5	3	7	1	8	2	NA	15	52	NA	2	NA	8	10	10	5	8	8	9	7	7	9	9	7	3	7	NA	4	2	NA	0	54	NA	1	2	2	2	2	1	1	1	2	1	1	2	2	1	2	2	2	2	2	1	2	1	2	2	4	2	1	1	1	2	1	4	2	2	1	2	2	5	6	NA	2	NA	NA	NA	1	NA	3	2	NA	1	1	2	76	82	1	120	120
1.4099	5	1	NA	7	8	13	NA	1	14	7	13	30	6	9	10	6	1	6	8	3	7	6	9	3	10	NA	NA	5	NA	93	NA	1	NA	2	1	3	3	3	1	1	2	1	1	2	3	2	2	2	4	3	2	2	3	4	2	4	2	1	2	1	1	2	1	2	4	1	1	2	2	2	10	4	NA	1	6	NA	NA	2	NA	3	1	NA	2	2	3	75	86	2	NA	NA
1.4099	5	3	2	1	NA	97	NA	18	NA	NA	98	NA	10	3	10	5	2	9	9	5	10	9	9	5	99	NA	NA	5	NA	NA	0	NA	NA	2	2	3	3	3	2	2	2	2	2	3	3	2	2	3	3	3	1	1	5	5	4	5	4	4	2	2	2	4	4	4	4	2	2	4	4	4	5	NA	NA	2	NA	NA	NA	NA	NA	3	1	NA	1	1	2	72	79	1	75	85
1.4099	5	1	NA	22	NA	43	NA	99	NA	NA	18	NA	4	9	3	1	1	5	7	3	8	9	4	4	99	NA	NA	3	NA	NA	6	19	1	3	2	2	3	3	1	4	2	3	3	2	5	2	2	1	4	3	2	1	1	2	2	1	2	6	2	1	1	1	1	1	2	1	1	2	2	2	11	NA	NA	2	NA	NA	NA	2	NA	4	NA	NA	2	1	2	75	82	1	84	92
1.4099	5	2	NA	16	NA	16	NA	2	54	NA	3	25	7	6	3	3	5	7	7	6	9	9	7	9	8	NA	NA	2	NA	96	NA	1	2	1	3	3	3	3	2	3	2	2	3	3	3	2	3	3	2	3	1	1	2	2	2	5	2	2	2	1	1	2	1	2	2	1	1	1	1	1	1	NA	NA	2	NA	NA	NA	9	NA	4	NA	NA	1	1	2	75	85	2	NA	NA
