WEIGHT	COL5	Q1_1	Q1_2	Q2_1	Q2_2	Q3_1	Q3_2	Q4_1	Q4_2	Q4_3	Q5_1	Q5_2	Q6A_1	Q6A_2	Q6A_3	Q6A_4	Q6A_5	Q6A_6	Q6A_8	Q6A_9	Q6A_11	Q6A_12	Q6A_13	Q6A_15	Q6B_1	Q6B_2	Q6B_3	Q7A_1	Q7A_2	Q7B_19	Q7B_20	Q8_1	Q8_2	Q9A_1	Q9A_2	Q9A_3	Q9A_4	Q9A_5	Q9A_6	Q9A_7	Q9A_8	Q9A_9	Q9A_10	Q9A_11	Q9A_12	Q9A_13	Q9A_14	Q9A_15	Q9A_16	Q9A_17	Q9B_1	Q9B_2	Q9B_3	Q9B_4	Q9B_5	Q9B_6	Q9B_7	Q9B_8	Q9B_9	Q9B_10	Q9B_11	Q9B_12	Q9B_13	Q9B_14	Q9B_15	Q9B_16	Q9B_17	Q10A_1	Q10A_2	Q10B_1	Q10B_2	Q10C_1	Q10C_2	Q11A_1	Q11A_2	Q11A_3	Q11B	Q11C_1	Q11C_2	Q11C_3	Q15	Q16	Q17	Q18	Q19_1	Q19_2	Q19_3	Q19_4	Q19_5	Q19_6	Q20_1	Q20_2	Q21_1	Q21_2	Q23A_M	Q23A_W	Q23B	Q23C_M	Q23C_W
0.6359	6	2	20	7	NA	2	NA	1	NA	NA	25	NA	9	9	5	10	5	7	10	10	8	10	10	10	7	NA	NA	8	NA	91	NA	45	NA	4	5	2	5	6	6	0	0	0	2	5	0	0	0	3	0	NA	4	6	0	8	8	6	0	0	0	0	4	5	3	4	4	0	NA	1	NA	1	NA	4	NA	7	1	8	2	NA	NA	NA	1	1	1	2	1	2	2	1	2	3	3	NA	3	NA	73	80	1	102	115
0.6359	6	2	NA	7	1	31	33	3	4	NA	16	NA	5	9	2	9	9	5	7	5	5	2	5	5	99	NA	NA	1	NA	NA	6	1	NA	7	7	3	8	5	5	5	5	5	5	5	3	3	5	5	5	NA	5	5	3	7	7	7	7	3	3	3	7	7	3	5	3	5	NA	3	NA	1	2	2	NA	98	NA	NA	NA	NA	NA	NA	2	1	2	1	1	1	2	1	1	2	2	NA	2	NA	74	81	1	76	81
0.6359	6	4	NA	11	NA	20	NA	99	NA	NA	1	NA	5	3	5	10	9	9	5	5	5	2	2	9	1	NA	NA	98	NA	NA	NA	1	NA	8	8	0	6	5	8	0	0	0	5	5	5	0	0	0	0	NA	8	5	0	9	5	9	0	0	0	5	8	8	0	0	0	0	NA	99	NA	5	4	1	3	19	26	NA	3	NA	NA	NA	1	2	2	2	2	2	3	1	1	2	3	NA	3	NA	80	85	1	90	95
0.6359	6	8	NA	7	14	8	NA	3	10	14	31	4	9	9	5	7	8	7	8	9	10	2	NA	10	1	8	NA	12	2	96	NA	1	24	3	5	3	5	5	5	5	2	2	2	2	2	2	2	4	2	NA	7	7	5	8	8	8	8	2	2	3	3	8	3	7	6	4	NA	99	NA	4	NA	1	3	4	NA	NA	2	NA	NA	NA	1	2	2	2	1	3	1	1	4	3	1	NA	1	NA	71	78	1	75	83
0.6359	6	1	NA	7	NA	31	NA	99	NA	NA	18	NA	9	9	3	4	6	8	9	9	4	2	4	9	4	9	NA	3	NA	95	NA	49	NA	7	8	6	7	4	2	4	2	1	4	3	3	2	3	2	1	NA	4	6	3	3	3	3	3	4	2	3	3	4	2	6	3	4	NA	3	NA	2	NA	8	NA	16	17	3	2	NA	NA	NA	2	1	2	1	3	3	2	2	2	2	2	NA	2	NA	75	81	1	80	84
0.6359	6	1	4	7	1	37	NA	5	18	NA	1	NA	4	3	7	6	6	7	5	5	5	1	1	2	99	NA	NA	1	NA	1	NA	43	NA	3	4	3	7	10	6	3	1	1	1	5	3	2	3	5	3	NA	3	4	3	7	9	5	3	1	2	1	4	3	2	3	5	3	NA	4	NA	99	NA	3	1	99	NA	NA	NA	NA	NA	NA	NA	2	2	2	3	3	3	2	3	3	3	NA	3	NA	78	86	1	95	95
0.6359	6	9	5	7	1	8	31	15	NA	NA	1	2	8	7	3	7	8	5	7	5	7	3	5	7	10	NA	NA	1	NA	NA	0	1	NA	5	5	5	8	3	7	5	5	3	3	3	3	3	2	1	1	NA	3	3	3	7	4	7	7	2	2	2	5	7	3	2	2	2	NA	3	NA	11	NA	7	NA	15	NA	NA	2	NA	NA	NA	2	2	1	2	3	1	1	1	2	1	1	NA	1	NA	76	83	1	100	100
0.6359	6	1	3	1	7	7	9	2	NA	NA	1	29	9	6	7	7	10	10	8	7	3	2	3	7	6	NA	NA	2	NA	NA	15	7	NA	5	4	3	4	10	6	0	0	0	4	NA	7	5	5	5	3	NA	1	3	2	1	7	6	1	1	1	1	NA	7	5	1	4	3	NA	6	NA	12	NA	6	NA	14	NA	NA	2	NA	NA	NA	2	1	2	2	1	1	1	1	1	2	6	NA	6	NA	80	85	1	100	100
0.6359	6	8	NA	7	NA	10	NA	16	20	NA	5	NA	8	9	3	7	9	7	5	4	7	4	6	5	3	NA	NA	1	NA	NA	0	19	NA	9	8	8	7	3	4	4	3	3	6	7	4	6	5	3	3	NA	7	7	5	5	3	3	6	2	2	6	5	4	2	4	3	4	NA	3	NA	1	NA	12	NA	29	30	NA	2	NA	NA	NA	2	1	1	1	1	1	1	1	2	2	1	NA	1	NA	74	81	1	80	86
0.6359	6	2	NA	7	NA	35	36	27	28	NA	13	NA	9	9	9	10	10	9	9	10	9	6	3	10	11	NA	NA	1	NA	NA	0	19	NA	7	4	7	6	7	4	4	1	2	1	9	3	3	9	9	2	0	8	6	7	8	8	6	8	3	4	6	7	7	7	9	9	3	9	3	7	19	NA	3	1	3	NA	NA	3	NA	NA	NA	NA	1	1	3	1	1	2	1	3	3	2	NA	2	NA	73	81	1	90	90
