responseid	respid	interview_start	interview_end	status	In your current role do you carry out primary research?	Have you published a manuscript in the past 3 years?				How familiar are you with the term reproducibility when referring to publishing scientific content.	Could you please briefly tell us what reproducibility means to you.	"Is a 'crisis of reproducibility' something you have heard of before, as an issue in science?"							Which of the following statement regarding a 'crisis or reproducibility' within the science community do you agree with?	To what extent do you feel that the crisis in reproducibility is suitably flagged?	"In your opinion, what proportion of published results in your field are reproducible? i.e. the results of a given study could be replicated exactly or reproduced in multiple similar experimental systems with variations of experimental settings such as materials and experimental model)"	"Please complete the following sentence: ""In my opinion, the level of reproducibility in my field is…"	To what extent do you agree or disagree with the following statements?		Please use the box below to tell us more about your answer:	How often do you do any of the following?			Have you encountered efforts or directives from funding agencies designed to improve reproducibility of the work you do?	To what extent do you agree/disagree with the following statements?			Please use the box below to tell us more about existing efforts that you've encountered and why you think they do or do not help:	Have you encountered efforts from journal publishers designed to enhance or ensure the reproducibility of your work (e.g. using checklists to ensure standards for describing research methods)?	To what extent do you agree/disagree with the following statements?			Please use the box below to tell us more about existing efforts that you've encountered and why you think they do or do not help:	Have you and/or your lab group established any procedures to ensure reproducibility in your work?	Use the box below to tell us about the steps that have been taken to ensure reproducibility in your work?	When did you and/or your lab group establish these procedures?	Do you think the quality of your research changed after these changes were introduced?	"What kind of an impact, overall, have the changes you made to ensure reproducibility had on your lab?"	Please tell us about any other positive or negative impacts these changes have had on your lab:	Do you think that you and/or your lab should implement any further changes?	Please use the box below to tell us about what further changes you think should be implemented: 	Have you identified any barriers to implementing changes that would improve reproducibility of research in your lab? 	Please tell us about the barriers that you have identified:	To what extent do you agree or disagree with the following statements:		Please use the scale below to indicate how much each of the following factors contributes to a failure to reproduce results:														Please tell us about any other important factors you feel we may have missed that contribute to irreproducible results:	Please use the scale below to indicate how likely you think the following factors would be to improve the reproducibility of research.											"Please tell us about any other important factors you feel we may have missed, and you think would improve reproducibility of research:"	"Which, if any, of the following have you done?"						Has anyone ever told you that they could not reproduce results from one of your own experiments?	What did you do?	How many members are in your lab?	What is your age?	Which of the following job titles best applies to you?	Other job title	Which of the following best describes your area of interest?	Other area of interest	What is your specialty within astronomy?	Other specialty within astronomy?	What is your specialty within biology?	Other specialty within biology	What is your specialty within chemistry?	Other specialty within chemistry	What is your specialty within earth and environmental science?	Other specialty within earth and environmental science?	What is your specialty within engineering?	Other specialty within engineering?	What is your specialty within material science?	Other specialty within material science?	What is your specialty within medicine?	Other specialty within medicine?	What is your specialty within physics?	Other specialty within physics?	In which continent do you live?	Which country in Asia (including Middle East)?	Which country in Australasia?	Which country in Africa?	Which country in Europe?	Which country in North America (including Central America and the Caribbean)?	Which country in South America?			
						"Yes, in an NPG journal"	"Yes, in a non-NPG journal"	No	I would prefer not to say			"Yes, from the mainstream media"	"Yes, from scientific journals"	"Yes, from discussions at conferences"	"Yes, from discussions with my colleagues"	"Yes, from elsewhere"	(please specify)	No					"""I think that the failure to reproduce scientific studies is a major problem in my field"""	"""I think that the failure to reproduce scientific studies is a major problem for all fields"""		Think about reproducibility of your research	Speak to you colleagues about reproducibility	Question the reproducibility of other scientists' work		I have found efforts from funding agencies helpful for my work.	Efforts from funding agencies will lead to positive changes in my field.	Funding agencies should do more to encourage or enforce better reproducibility.			"""Efforts made by journal publishers have been helpful to my work."""	"""Efforts made by journal publishers have had a positive effect on my field."""	"""Journal publishers should do more to enforce or encourage reproducibility in my field."""												"""I think that a failure to reproduce a result most often means that the original finding is wrong."""	"""I think that a failure to reproduce rarely detracts from the validity of the original finding."""	Fraud (i.e. fabricated or falsified results)	Pressure to publish for career advancement	Insufficient oversight/mentoring by lab principal investigator (e.g. reviewing raw data)	Insufficient peer review of research	Selective reporting of results	Original findings not robust enough because not replicated enough in the lab publishing the work	Original findings obtained with low statistical power/poor statistical analysis	Mistakes or inadequate expertise in reproduction efforts	Raw data not available from original lab	"Protocols, computer code or reagent information insufficient or not available from original lab"	Methods need 'green fingers' – particular technical expertise that is difficult for others to reproduce	Variability of standard reagents	Poor experimental design	Bad luck		Professional incentives (e.g. funding or publications) for formally reproducing the work of others	Professional incentives (e.g. funding or credit towards tenure) for adopting practices that enhance reproducibility	Better teaching of science students	"Better mentoring/supervision of students, postdocs and other trainees in the lab"	Better understanding of statistics	More robust experimental design	More emphasis on independent validation within the lab	More emphasis on independent replication via outside labs	Journal editors enforcing standards to enhance reproducibility (e.g. through checklists)	More time to teach and mentor students and other workers in the lab	More time checking lab notebooks and raw data		Tried and failed to reproduce one of your own experiments	Tried and failed to reproduce someone else's experiment	Published a successful attempt to reproduce someone else's work	Published a failed attempt to reproduce someone else's work	Tried and failed to publish a successful reproduction	Tried and failed to publish an unsuccessful reproduction																																		
24	24	08/10/2015	08/10/2015	complete	Yes	0	1	0	0	Fairly familiar		0	1	0	0	0		0	There is a slight crisis of reproducibility	A reasonable amount	90%	"...better than for other scientific fields on average."""	Agree	Strongly agree		Monthly	Quarterly	Quarterly	No					Yes	Agree	Strongly agree	Agree		Yes		Within the last 5 years	"Yes, the quality of my research has improved"	These changes have had a positive impact on my lab		Yes		Yes		Strongly agree	Agree	Always contributes	Always contributes	Very often contributes	Always contributes	Always contributes	Sometimes contributes	Very often contributes	Always contributes	Always contributes	Always contributes	Always contributes	Always contributes	Very often contributes	Always contributes		Very likely	Likely	Not very likely	Likely	Likely	Likely	Very likely	Likely	Very likely	Likely	Likely		Yes	Yes	Yes	No	Yes	Yes	Yes		1-5 members	65 or over	Research Scientist		Other	Interferon																	Europe				Slovenia					
27	27	08/10/2015	08/10/2015	complete	Yes	0	0	1	0	Very familiar		0	1	0	1	0		0	There is a slight crisis of reproducibility	A reasonable amount	40%	"...worse than for other scientific fields on average."""	Agree	Neither agree nor disagree		Monthly	Never	Weekly	Not applicable					No					Yes	"Using established scales, standardized measures in terms of psychophysiological studies."	The procedures have been in place since I started working in my lab	I don't know	These changes have not affected my lab		I am unsure		Yes	The budget does not allow for a necessary complete renewal of lab equipment	Disagree	Neither agree nor disagree	Very often contributes	Sometimes contributes	Sometimes contributes	Rarely contributes	Very often contributes	Sometimes contributes	Very often contributes	Rarely contributes	Sometimes contributes	Sometimes contributes	Always contributes	Rarely contributes	Very often contributes	Sometimes contributes		Likely	I don't know	Very likely	Likely	Very likely	Very likely	Likely	Likely	Not very likely	Likely	Very likely		No	No	No	No	No	No	I can't remember		1-5 members	25 - 34	Student		Other	communication studies																	Europe				Germany					
36	36	08/10/2015	08/10/2015	complete	Yes	0	1	0	0	Very familiar		1	1	1	1	0		0	There is a significant crisis of reproducibility	Not enough	30%	"...worse than for other scientific fields on average."""	Strongly agree	Strongly agree	"my field is saturated with molecular biologists and geneticists who have forgotten physiology similarly, the major journals are edited and reviewed by such."	Daily	Weekly	Daily	Yes	Strongly disagree	Strongly disagree	Strongly disagree	"funding agencies introduce a single brush to make us all be painted with it, but each aspect of the field uses different means to gauge the reproducibility"	Yes	Disagree	Disagree	Strongly agree	use reviewers who actually understand the science from a holistic view not just about one molecule and it alone.	Yes	we record from neurones and they need to match multiple criterias to be selected. all data is recorded and finally made available to the community for their scrutiny using the Arxiv system	Within the last 10 years or longer	I don't know	These changes have had a positive impact on my lab	they are positive as all can reproduce what we have found so far	I am unsure		No		Agree	Disagree	Sometimes contributes	Always contributes	Always contributes	Always contributes	Always contributes	Very often contributes	Sometimes contributes	Sometimes contributes	Always contributes	Always contributes	Sometimes contributes	Rarely contributes	Always contributes	Rarely contributes		Very likely	Very likely	Likely	Very likely	Very likely	Very likely	Likely	Likely	Likely	Very likely	Very likely		No	Yes	No	Yes	Yes	No	No		1-5 members	45 - 54	Associate professor/Lecturer		Other	Neurophysiology																	Europe				United Kingdom					
107	107	08/10/2015	08/10/2015	complete	Yes	1	0	0	0	Very familiar		0	1	0	0	0		0	There is a significant crisis of reproducibility	A reasonable amount	50%	"...worse than for other scientific fields on average."""	Agree	Agree		Weekly	Quarterly	Monthly	No					Yes	Neither agree nor disagree	Neither agree nor disagree	Agree		No								No		Strongly disagree	Agree	Always contributes	Always contributes	Always contributes	Rarely contributes	Very often contributes	Very often contributes	Very often contributes	Always contributes	Sometimes contributes	Sometimes contributes	Always contributes	Very often contributes	Always contributes	Always contributes		Very likely	Very likely	Very likely	Very likely	Likely	Very likely	Likely	Likely	Likely	Likely	Likely		Yes	Yes	Yes	Yes	No	No	Yes	send them a detailed protocol and offer to host a member of their lab in my lab to do the experiment as well as send a member of my lab to their lab to teach them the technique	6-10 members	35 - 44	Principal Investigator		Biology				Developmental Biology														Europe				Switzerland					
112	112	08/10/2015	08/10/2015	complete	Yes	1	0	0	0	Fairly familiar		0	0	0	1	0		0	There is a slight crisis of reproducibility	A reasonable amount	70%	"...about the same as for other scientific fields on average"""	Disagree	Agree		Weekly	Monthly	Weekly	No					No					Yes		The procedures have been in place since I started working in my lab	"No, the quality of my research has not improved"	These changes have not affected my lab		Yes		Yes		Agree	Neither agree nor disagree	Very often contributes	Very often contributes	Sometimes contributes	Rarely contributes	Very often contributes	Rarely contributes	Rarely contributes	Never contributes	Sometimes contributes	Always contributes	Very often contributes	Rarely contributes	Rarely contributes	Never contributes		Not very likely	Likely	Not very likely	Very likely	Very likely	Very likely	Not very likely	Not very likely	Likely	Not very likely	Not very likely		Yes	Yes	No	No	No	No	No		6-10 members	18 - 24	PhD Student		Biology				Immunology														South America						Argentina			
114	114	08/10/2015	08/10/2015	complete	Yes	0	1	0	0	Very familiar		1	1	1	1	0		0	There is a significant crisis of reproducibility	A reasonable amount	20%	"...worse than for other scientific fields on average."""	Agree	Agree		Daily	Monthly	Weekly	No					Yes	Agree	Agree	Strongly agree		No								Yes		Disagree	Disagree	Very often contributes	Very often contributes	Sometimes contributes	Sometimes contributes	Very often contributes	Very often contributes	Very often contributes	Sometimes contributes	Very often contributes	Very often contributes	Sometimes contributes	I don't know	Sometimes contributes	Sometimes contributes		Very likely	Very likely	Very likely	Likely	Likely	Likely	Likely	Likely	Likely	Not very likely	Not very likely		Yes	Yes	No	No	No	No	No		1-5 members	25 - 34	PhD Student		Other	Psychology																	Europe				Germany					
117	117	08/10/2015	08/10/2015	complete	Yes	0	1	0	0	Fairly familiar	The ability to replicate the data from the original paper.	1	0	0	0	0		0	There is a slight crisis of reproducibility	I am unsure	70%	I am unsure	Agree	Agree	"I do agree there is a problem when reproducing data, however, I do not always think it is due to groups deceitful. With so many variables in experiments, it is not always easy to replicate no matter how hard one tries. The majority of scientists are truthful, and even we find it hard to replicate some experiments!"	Weekly	Monthly	Monthly	Not applicable					Not applicable					No								I don't know		Disagree	Neither agree nor disagree	Sometimes contributes	Sometimes contributes	Sometimes contributes	Rarely contributes	Very often contributes	Very often contributes	Sometimes contributes	Sometimes contributes	Very often contributes	I don't know	Sometimes contributes	Sometimes contributes	Sometimes contributes	Sometimes contributes		I don't know	Likely	I don't know	I don't know	I don't know	Likely	Likely	Likely	Likely	I don't know	I don't know		Yes	I can't remember	No	No	No	No	I can't remember		1-5 members	25 - 34	PhD Student		Biology				Microbiology														Europe				United Kingdom					
145	145	08/10/2015	08/10/2015	complete	Yes	0	1	0	0	Very familiar		1	1	1	0	0		0	There is a significant crisis of reproducibility	Not enough	30%	"...worse than for other scientific fields on average."""	Strongly agree	Agree		Daily	Weekly	Weekly	No					No					Yes	"- Pre-registring all studies - Increasing sample sizes - Using Bayes Factors to provide evidence for or against effects, rather than looking for significant p-values - Systematising the way in which I do frequentist statistics (to avoid multiple comparisons due to different trimming procedures)"	Within the last year	"Yes, the quality of my research has improved"	These changes have not affected my lab		Yes		I don't know		Disagree	Neither agree nor disagree	Rarely contributes	Always contributes	Very often contributes	I don't know	Very often contributes	Very often contributes	Very often contributes	Very often contributes	Very often contributes	Very often contributes	Rarely contributes	I don't know	Always contributes	Sometimes contributes		Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Likely	Not very likely	Professional training of senior researchers in statistics and honest research methods	Yes	Yes	No	No	No	Yes	Yes	"Re-analysed my data, and found that the effects were not overly stable in the first place. "	1-5 members	25 - 34	Post-doctoral Fellow		Other	Cognitive Psychology																	Europe				Italy					
179	179	08/10/2015	08/10/2015	complete	Yes	1	0	0	0	Very familiar	Achieving similar results in repeated trials of the same experiment or measurement	0	0	0	0	0		1	I don't know	I am unsure	80%	"...better than for other scientific fields on average."""	Strongly disagree	Neither agree nor disagree		Weekly	Weekly	Quarterly	No					Yes	Agree	Neither agree nor disagree	Agree		Yes		The procedures have been in place since I started working in my lab	I don't know	These changes have not affected my lab	The requirement for reproducibility is a fundamental issue in petrology and geochemistry research. 	No		No		Disagree	Disagree	I don't know	Sometimes contributes	Always contributes	Always contributes	Never contributes	Sometimes contributes	Very often contributes	Very often contributes	Very often contributes	Very often contributes	I don't know	Sometimes contributes	Sometimes contributes	Sometimes contributes		Likely	Likely	Very likely	Very likely	Likely	Likely	Very likely	Not very likely	Likely	Likely	Likely	Reporting standards and lab standards agreed to by publishing community	Yes	Yes	Yes	No	No	No	No		11-25 members	45 - 54	Laboratory Director/Head		Earth and Environmental Science								Solid Earth sciences										Australasia		Australia							
